date,study_day,time_period,time_window,887 Free Feed Control,883 Free Feed Control,884 Free Feed low,892 Free Feed Low,864 Free Feed Med,889 Free Feed Med,869 Free Feed high,894 Free Feed High,886 Free Feed High,893 IP Control,865 IP High,872 IP High
28-Jul,7,Dose 4,Post Dose 5,290.8,510,466.5,385.3142857,423.5,569.3,369.5571429,410.7,446.3285714,425.2571429,457.9142857,458.1285714
28-Jul,7,Dose 4,Post Dose 6,330.2142857,481.9142857,423.5571429,370.9857143,431.8857143,509.0714286,294.5,466.1285714,436.0428571,350.2714286,438.4142857,453.3285714
29-Jul,8,NoDose 4,PreDose,367.8857143,455.6714286,464.9285714,351.3142857,361.6571429,494.3857143,412.5428571,407.5,439.8,489.4142857,442.2571429,379.9857143
29-Jul,8,NoDose 4,Dose,291.0142857,526.2285714,375.4714286,384.2285714,392.7571429,483.2142857,373.5571429,388.0285714,393.4285714,462.4142857,339.8285714,379.5857143
29-Jul,8,NoDose 4,Post Dose 1,290.9571429,438.9571429,437.8428571,326.9714286,416.0857143,523.6571429,350.8714286,411.3428571,449.4285714,459.5142857,458.0714286,360.5428571
29-Jul,8,NoDose 4,Post Dose 2,325.6142857,492.9428571,458.5428571,385.7571429,416.7857143,502.5857143,359.1142857,362.7142857,406.2714286,449.6,488.1714286,362.7
29-Jul,8,NoDose 4,Post Dose 3,328.0714286,452.7571429,472.0857143,372.0857143,371.7,460.0714286,349.7571429,452.2571429,387.4,521.9142857,490.0142857,300.4142857
29-Jul,8,NoDose 4,Post Dose 4,302.0571429,500.1857143,420.8,352.7285714,405.1714286,447,422.8714286,380.0857143,463,442.7714286,482.0428571,387.5857143
29-Jul,8,NoDose 4,Post Dose 5,290.2714286,469.5857143,463,375.9714286,369.1428571,501.1,416.8428571,404.1,433.8,434.2285714,488.6285714,386.1
29-Jul,8,NoDose 4,Post Dose 6,279.6428571,481.7714286,455.1142857,331.0285714,423.2285714,466.3285714,426.9,366.8142857,456.5571429,469.4714286,490.5714286,435.0714286
30-Jul,9,Dose 5,PreDose,321.2285714,562.6857143,421.5571429,401.1285714,356.5142857,485.9571429,402.1571429,396.7571429,500.1142857,461.7285714,436.6,416.3857143
30-Jul,9,Dose 5,Dose,327.9142857,494.7571429,490.2571429,368.2142857,351.4,520.0428571,371.6285714,441.1285714,488.5714286,453.6857143,485.6,373.8142857
30-Jul,9,Dose 5,Post Dose 1,304.2,474.3142857,429.9571429,351.9714286,404.3285714,574.3,397.0142857,282.7142857,372.5428571,539.0285714,489.3571429,400.3571429
30-Jul,9,Dose 5,Post Dose 2,260.4571429,527.0142857,402.5857143,333.7142857,423.7285714,468.5285714,397.9428571,392.6857143,394.0714286,500.7857143,463.9285714,331.1571429
30-Jul,9,Dose 5,Post Dose 3,301.9714286,465.1142857,473.6285714,382.8714286,375.4,558.5285714,438.3571429,407.7142857,427.9428571,395.1857143,457.3,382.2
30-Jul,9,Dose 5,Post Dose 4,267.3,549.1285714,402.0714286,337.2857143,406.7285714,517.4,356.6428571,400.2714286,413.4142857,443.5714286,495.5428571,343.9
30-Jul,9,Dose 5,Post Dose 5,287.6428571,462.7285714,451.7571429,350.0714286,420.3714286,555.6285714,379.5285714,427.9571429,492.1142857,416.2714286,474.0285714,346.4285714
30-Jul,9,Dose 5,Post Dose 6,283.8285714,552.3285714,466.5285714,349.8857143,379.1857143,496.6428571,347.4571429,413.5857143,335.5285714,466.6,488.9285714,432.5285714
31-Jul,10,NonDose 5,PreDose,316.9285714,501.2428571,498.1857143,336.8571429,370.4428571,535.0142857,428.4285714,442.4714286,407.3428571,402.1571429,445.6714286,429.9857143
31-Jul,10,NonDose 5,Dose,224.4285714,454.4,403.2285714,358.4285714,428.3142857,486.0857143,435.9428571,413.4142857,351.0571429,425.2571429,469.0142857,322.3857143
31-Jul,10,NonDose 5,Post Dose 1,268.0714286,490.5714286,455.7142857,390.6857143,381.6714286,500.1,438.9428571,438.2571429,297.4428571,355.7714286,450.8571429,334.3428571
31-Jul,10,NonDose 5,Post Dose 2,328.8285714,471.5142857,397.5714286,395.3142857,361.4428571,552.8571429,428.3714286,458.3857143,383.9,346.6428571,443.0857143,377.6571429
31-Jul,10,NonDose 5,Post Dose 3,244.2428571,487.8714286,439.8857143,398.0857143,394.1,495.3142857,328.2714286,410.0142857,378.2285714,378.9714286,455.6285714,321.0285714
31-Jul,10,NonDose 5,Post Dose 4,238.7714286,493.0428571,386.1428571,332.3285714,376.6428571,477.5857143,325.3714286,409.2142857,374.0428571,407.6857143,456.8285714,354.2428571
31-Jul,10,NonDose 5,Post Dose 5,361.2428571,422.7857143,398.6857143,372.5285714,359.0142857,514.1,321.1142857,435.0714286,379.3714286,414.3428571,405.6714286,403.5857143
31-Jul,10,NonDose 5,Post Dose 6,297.3285714,515.2428571,441.4428571,373.6714286,376.5285714,472.1,329.1,409.1285714,398.8571429,489.2285714,464.0142857,289.1285714
1-Aug,11,Dose 6,PreDose,297.0142857,463.0571429,441.7,387.6857143,425.5142857,522.3428571,366.0285714,471.3428571,405.0285714,418.9142857,391.4142857,404.2571429
1-Aug,11,Dose 6,Dose,341.4714286,499.4,469.6,412.0714286,419.8428571,517.1857143,378.8857143,435.9142857,453.9857143,427.2571429,461.3857143,395.5428571
1-Aug,11,Dose 6,Post Dose 1,260.0857143,515.4,411.8714286,415.9857143,423.7571429,497.2142857,319.7714286,439.3,404.3,379.1428571,511.1285714,413.7857143
1-Aug,11,Dose 6,Post Dose 2,325.6,441.3,413.7571429,406.3857143,432.1285714,500.7857143,361.9857143,393.8142857,468.6857143,371.4714286,496.5428571,451.6428571
1-Aug,11,Dose 6,Post Dose 3,292.3714286,544.6714286,447.4428571,360.4714286,408.6571429,529.6714286,405.9142857,429.3714286,400,408.4714286,556.8285714,510.5571429
1-Aug,11,Dose 6,Post Dose 4,441.6142857,458.2285714,478.7857143,403.4285714,453.0428571,587.8142857,377.2428571,430.5142857,448.6857143,463.4428571,488.1142857,528.7142857
1-Aug,11,Dose 6,Post Dose 5,332.7714286,470.7714286,417.8714286,312.3428571,367.4,533.5714286,401.2142857,481.3571429,395.3571429,420.3428571,472.3714286,507.9857143
1-Aug,11,Dose 6,Post Dose 6,371.5428571,553.8,478.0714286,348.8142857,403.3142857,547.0714286,330.6714286,462.4857143,444.9571429,424.8285714,474.4428571,531.1714286
2-Aug,12,NonDose 6,PreDose,310.2,481.5142857,452.0285714,356.5857143,412.3571429,501.1142857,426.1571429,422.4142857,436.9,353.9142857,495.3142857,407.3142857
2-Aug,12,NonDose 6,Dose,261.9142857,507.1,471.9,340.9571429,388.4,494.7571429,423.2714286,408.2142857,369.9428571,343.1,459.2571429,267.6857143
2-Aug,12,NonDose 6,Post Dose 1,271.2428571,497.3714286,412.5285714,400.1285714,400.2857143,528.2285714,434.5142857,409.8857143,405.3571429,316.6714286,453.2714286,357.1571429
2-Aug,12,NonDose 6,Post Dose 2,280.3,459.1142857,399.6285714,393.6714286,338.5857143,560.5142857,394.7285714,458.2714286,385.4428571,379.8142857,481.1,374.9142857
2-Aug,12,NonDose 6,Post Dose 3,317.5142857,500.3857143,373.2428571,368.5857143,394,472.9285714,344.5714286,429.9857143,394.2428571,511.9428571,479.5428571,447.6571429
2-Aug,12,NonDose 6,Post Dose 4,269.8142857,444.8428571,467.5714286,408.0857143,388.5857143,488.6714286,465.3857143,436.7142857,400.4,584.3428571,445.0428571,426.2571429
2-Aug,12,NonDose 6,Post Dose 5,262.2,438.9571429,392.2142857,306.2428571,388.8,521.3142857,442.9857143,433.6428571,410.2857143,444.7571429,499,400.1142857
2-Aug,12,NonDose 6,Post Dose 6,243.0142857,499.8,434.8714286,390.0285714,411.7714286,482.1571429,396.7142857,411.5857143,439.1428571,471.0428571,469.5571429,385.4142857
3-Aug,13,Dose 7,PreDose,339.9714286,538.5142857,413.6571429,410.2285714,382.6285714,500.5285714,363.8428571,421.2571429,403.1857143,416.4142857,449.6142857,405.9571429
3-Aug,13,Dose 7,Dose,321.8571429,520.1,489.5,388.2857143,462.6142857,533.7714286,357.4285714,459.4857143,465.7714286,458.8714286,477.7857143,444.0142857
3-Aug,13,Dose 7,Post Dose 1,373.0142857,479.5857143,458.6857143,396.9857143,411.6714286,529.4714286,380.8571429,439.6142857,424.7142857,452.4285714,497.1428571,470.5
3-Aug,13,Dose 7,Post Dose 2,359.2714286,450.8714286,391.5428571,384.6285714,407.2142857,453.2571429,364.4,487.8714286,458.8285714,457.2428571,514.9,466.4285714
